casos;tos;dolor de garganta;fiebre;cansancio;dolor de cabeza;tengo covid;sintomas covid;test covid;prediction;fecha;Prediction 2
6112.0;10.0;6.0;34.0;9.0;14.0;9.0;74.0;37.0;16.106.200.721.262.300;10/8/20;16106
6436.0;9.0;5.0;30.0;9.0;13.0;10.0;79.0;28.0;16.654.952.734.947.700;11/8/20;16655
6543.0;14.0;12.0;33.0;5.0;16.0;4.0;60.0;28.0;12.524.907.744.656.300;12/8/20;12525
6330.0;9.0;6.0;63.0;8.0;12.0;11.0;77.0;37.0;13.024.171.380.983.900;13/8/20;13024
7158.0;11.0;10.0;41.0;10.0;13.0;8.0;77.0;45.0;15.477.112.924.125.800;14/8/20;15477
5658.0;10.0;7.0;41.0;8.0;13.0;6.0;58.0;26.0;9.590.016.093.184.980;15/8/20;9590
4975.0;10.0;10.0;58.0;9.0;22.0;9.0;76.0;35.0;12.334.423.885.050.500;16/8/20;12334
7179.0;8.0;9.0;44.0;7.0;15.0;6.0;86.0;39.0;15.604.528.824.042.100;17/8/20;15605
8404.0;11.0;10.0;36.0;11.0;19.0;8.0;86.0;41.0;17.282.425.047.609.200;18/8/20;17282
8404.0;6.0;6.0;43.0;10.0;16.0;9.0;81.0;33.0;1.391.808.720.619.170;19/8/20;1392
8372.0;11.0;12.0;40.0;7.0;17.0;8.0;97.0;32.0;18.755.705.359.069.000;20/8/20;18756
9565.0;8.0;7.0;59.0;2.0;22.0;10.0;83.0;39.0;17.114.511.335.349.800;21/8/20;17115
6696.0;12.0;10.0;60.0;6.0;20.0;11.0;80.0;38.0;15.751.136.830.906.900;22/8/20;15751
5950.0;17.0;9.0;54.0;7.0;19.0;14.0;82.0;26.0;17.970.093.803.649.300;23/8/20;17970
