casos,tos,dolor de garganta,fiebre,cansancio,dolor de cabeza,tengo covid,sintomas covid,test covid,prediction,fecha
2131.0,9.0,5.0,21.0,11.0,10.0,7.0,40.0,25.0,8207.713086534091,25/7/20
1982.0,8.0,8.0,37.0,6.0,12.0,5.0,42.0,23.0,6419.757247207233,26/7/20
3046.0,8.0,9.0,22.0,7.0,12.0,2.0,39.0,27.0,6895.593076169328,27/7/20
3165.0,7.0,6.0,25.0,8.0,10.0,6.0,46.0,22.0,8344.430977963344,28/7/20
3272.0,8.0,7.0,30.0,7.0,17.0,2.0,33.0,27.0,5117.625708707324,29/7/20
3142.0,10.0,4.0,32.0,7.0,16.0,8.0,45.0,42.0,12519.862338735638,30/7/20
3634.0,6.0,10.0,37.0,6.0,7.0,3.0,38.0,30.0,4582.860545717907,31/7/20
3740.0,7.0,7.0,20.0,5.0,15.0,4.0,48.0,22.0,9997.441187634482,1/8/20
2861.0,10.0,3.0,32.0,5.0,15.0,9.0,44.0,15.0,10109.256890546643,2/8/20
4155.0,6.0,6.0,27.0,8.0,17.0,3.0,50.0,23.0,7717.436753612669,3/8/20
4724.0,12.0,5.0,28.0,8.0,19.0,7.0,53.0,24.0,12055.48528396801,4/8/20
4645.0,12.0,7.0,20.0,10.0,20.0,6.0,58.0,21.0,12328.287894974459,5/8/20
4628.0,6.0,9.0,34.0,5.0,15.0,6.0,60.0,30.0,11328.746178783607,6/8/20
5380.0,9.0,5.0,27.0,5.0,15.0,6.0,71.0,24.0,15205.27934812611,7/8/20
4268.0,7.0,11.0,31.0,4.0,14.0,6.0,57.0,20.0,10288.663534720126,8/8/20
4075.0,10.0,10.0,38.0,8.0,14.0,5.0,64.0,26.0,10346.16246385737,9/8/20
6112.0,10.0,6.0,34.0,9.0,14.0,9.0,74.0,37.0,16106.200721262361,10/8/20
6436.0,9.0,5.0,30.0,9.0,13.0,10.0,79.0,28.0,16654.952734947718,11/8/20
6543.0,14.0,12.0,33.0,5.0,16.0,4.0,60.0,28.0,12524.907744656317,12/8/20
6330.0,9.0,6.0,63.0,8.0,12.0,11.0,77.0,37.0,13024.171380983902,13/8/20
7158.0,11.0,10.0,41.0,10.0,13.0,8.0,77.0,45.0,15477.112924125846,14/8/20
5658.0,10.0,7.0,41.0,8.0,13.0,6.0,58.0,26.0,9590.016093184986,15/8/20
4975.0,10.0,10.0,58.0,9.0,22.0,9.0,76.0,35.0,12334.423885050554,16/8/20
7179.0,8.0,9.0,44.0,7.0,15.0,6.0,86.0,39.0,15604.528824042147,17/8/20
8404.0,11.0,10.0,36.0,11.0,19.0,8.0,86.0,41.0,17282.425047609246,18/8/20
8404.0,6.0,6.0,43.0,10.0,16.0,9.0,81.0,33.0,13918.08720619178,19/8/20
8372.0,11.0,12.0,40.0,7.0,17.0,8.0,97.0,32.0,18755.705359069074,20/8/20
9565.0,8.0,7.0,59.0,2.0,22.0,10.0,83.0,39.0,17114.511335349813,21/8/20
6696.0,12.0,10.0,60.0,6.0,20.0,11.0,80.0,38.0,15751.136830906904,22/8/20
5950.0,17.0,9.0,54.0,7.0,19.0,14.0,82.0,26.0,17970.093803649364,23/8/20
8202.0,10.0,9.0,44.0,8.0,19.0,8.0,91.0,34.0,17124.54423893248,24/8/20
10174.0,13.0,7.0,35.0,7.0,19.0,7.0,85.0,41.0,19570.5902981909,25/8/20
9746.0,13.0,7.0,40.0,7.0,17.0,9.0,82.0,41.0,18968.795414412387,26/8/20
9417.0,9.0,7.0,33.0,6.0,16.0,13.0,80.0,38.0,20019.53181873853,27/8/20
10874.0,8.0,7.0,41.0,7.0,16.0,8.0,85.0,21.0,14686.236446533814,28/8/20
7328.0,9.0,10.0,38.0,10.0,17.0,5.0,73.0,21.0,10369.260146008277,29/8/20
6399.0,11.0,13.0,44.0,10.0,16.0,4.0,69.0,32.0,9872.621106057271,30/8/20
8431.0,13.0,8.0,36.0,8.0,14.0,9.0,74.0,37.0,16857.224976412,31/8/20
11359.0,13.0,7.0,33.0,5.0,18.0,7.0,68.0,38.0,17105.396948037298,1/9/20
10525.0,17.0,9.0,61.0,8.0,36.0,6.0,78.0,48.0,16223.485961147362,2/9/20
10403.0,15.0,12.0,47.0,5.0,28.0,4.0,47.0,48.0,11541.611137345953,3/9/20
11519.0,17.0,3.0,53.0,9.0,29.0,1.0,75.0,48.0,14971.81376822527,4/9/20
8763.0,15.0,6.0,46.0,16.0,22.0,3.0,48.0,42.0,6755.415169396984,5/9/20
7422.0,18.0,11.0,50.0,2.0,24.0,15.0,68.0,30.0,19258.98981454403,6/9/20
9444.0,12.0,12.0,39.0,8.0,19.0,3.0,58.0,46.0,11482.593403368624,7/9/20
11439.0,13.0,10.0,47.0,12.0,17.0,5.0,60.0,43.0,9926.064726559256,8/9/20
11871.0,23.0,11.0,45.0,15.0,23.0,8.0,72.0,47.0,16311.515394924918,9/9/20
11639.0,17.0,9.0,39.0,7.0,28.0,12.0,55.0,39.0,16628.951063947396,10/9/20
12165.0,13.0,8.0,45.0,7.0,16.0,10.0,49.0,29.0,10718.942128115097,11/9/20
9409.0,15.0,9.0,69.0,15.0,28.0,3.0,66.0,30.0,5240.077084790009,12/9/20
8107.0,31.0,9.0,72.0,11.0,25.0,5.0,60.0,34.0,11577.432193703342,13/9/20
10694.0,22.0,14.0,60.0,8.0,24.0,9.0,50.0,40.0,11582.155116746035,14/9/20
12294.0,19.0,10.0,54.0,13.0,31.0,13.0,60.0,29.0,12516.046012559102,15/9/20
12170.0,18.0,9.0,50.0,6.0,33.0,7.0,63.0,33.0,14554.212579510157,16/9/20
11684.0,21.0,11.0,39.0,13.0,26.0,8.0,76.0,36.0,16866.5082062791,17/9/20
14323.0,21.0,15.0,59.0,6.0,16.0,8.0,62.0,40.0,13485.615929962241,18/9/20
8530.0,19.0,14.0,52.0,6.0,22.0,10.0,50.0,22.0,10618.295594474748,19/9/20
7291.0,29.0,13.0,61.0,6.0,19.0,8.0,94.0,16.0,18930.190823330686,20/9/20
9966.0,14.0,14.0,47.0,15.0,19.0,9.0,70.0,49.0,12798.443262735113,21/9/20
12468.0,26.0,12.0,41.0,6.0,25.0,9.0,66.0,40.0,19905.27236108596,22/9/20
11808.0,14.0,7.0,47.0,7.0,18.0,9.0,68.0,53.0,17252.604679266275,23/9/20
11287.0,17.0,13.0,49.0,7.0,28.0,9.0,73.0,51.0,18164.745361761583,24/9/20
